feature_set,n_train_other,n_train_finetune,n_test,finetune_subset_label,user_cutoff,train_all_p5_cutoff,train_finetune_p5_cutoff,median_similarity_to_train_all,median_similarity_to_train_finetune,mean_topk_similarity_to_train_all,mean_topk_similarity_to_train_finetune,delta_mean_topk_finetune_minus_all,fine_tuning_preferred,output_subdir,n_outside_ad_user_cutoff_all,pct_outside_ad_user_cutoff_all,n_outside_ad_user_cutoff_finetune,pct_outside_ad_user_cutoff_finetune,n_outside_ad_train_all_p5,pct_outside_ad_train_all_p5,n_outside_ad_train_finetune_p5,pct_outside_ad_train_finetune_p5,is_best
rdkit_path_min3_max8_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.6734618902206421,0.8258099257946014,0.9627203941345215,0.9601395130157471,0.9365226626396179,0.9303785562515259,-0.006144106388092041,False,AD_all_hlm/rdkit_path_min3_max8_b1024,0,0.0,0,0.0,1,0.1278772378516624,18,2.3017902813299234,True
rdkit_path_min4_max8_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.6597407817840576,0.8171741664409637,0.9608869552612305,0.9579873085021973,0.93296879529953,0.9260731339454651,-0.006895661354064941,False,AD_all_hlm/rdkit_path_min4_max8_b1024,0,0.0,0,0.0,1,0.1278772378516624,18,2.3017902813299234,False
rdkit_path_min4_max8_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.5155944734811783,0.7290360927581787,0.8606603145599365,0.8436994552612305,0.8127756714820862,0.7879309058189392,-0.024844765663146973,False,AD_all_hlm/rdkit_path_min4_max8_b2048,1,0.1278772378516624,1,0.1278772378516624,1,0.1278772378516624,99,12.659846547314578,False
rdkit_path_min3_max8_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.5286920249462128,0.7371798753738403,0.8645403385162354,0.8477380275726318,0.8187196254730225,0.7938457131385803,-0.02487391233444214,False,AD_all_hlm/rdkit_path_min3_max8_b2048,0,0.0,1,0.1278772378516624,1,0.1278772378516624,106,13.554987212276215,False
rdkit_path_min3_max7_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.6038649708032608,0.7857253551483154,0.8720077872276306,0.8514686822891235,0.8400524854660034,0.8239482045173645,-0.016104280948638916,False,AD_all_hlm/rdkit_path_min3_max7_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,120,15.345268542199488,False
rdkit_path_min4_max7_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.586731880903244,0.7762682735919952,0.8604693412780762,0.8453993797302246,0.8288667798042297,0.8130069375038147,-0.01585984230041504,False,AD_all_hlm/rdkit_path_min4_max7_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,120,15.345268542199488,False
chemeleon+rdkit_path_min4_max8_b1024,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.760058730840683,0.8909960687160492,0.9225455522537231,0.9218310117721558,0.9086654782295227,0.9052379131317139,-0.003427565097808838,False,AD_all_hlm/chemeleon__rdkit_path_min4_max8_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,154,19.69309462915601,False
chemeleon+rdkit_path_min3_max8_b1024,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.7669379591941834,0.8952938318252563,0.9243893027305603,0.9231867790222168,0.9107850193977356,0.9074560403823853,-0.003328979015350342,False,AD_all_hlm/chemeleon__rdkit_path_min3_max8_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,168,21.483375959079282,False
rdkit_path_min4_max8_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.4197429850697517,0.6664701402187347,0.7677325010299683,0.7661417126655579,0.6917815208435059,0.6844926476478577,-0.007288873195648193,False,AD_all_hlm/rdkit_path_min4_max8_b4096,1,0.1278772378516624,3,0.3836317135549872,2,0.2557544757033248,191,24.424552429667518,False
rdkit_path_min3_max8_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.43068474233150483,0.6753246784210205,0.7709099054336548,0.7687357664108276,0.6968186497688293,0.689595639705658,-0.007223010063171387,False,AD_all_hlm/rdkit_path_min3_max8_b4096,1,0.1278772378516624,2,0.2557544757033248,2,0.2557544757033248,201,25.703324808184142,False
avalon_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.5847560286521911,0.786467581987381,0.8462347984313965,0.8462347984313965,0.795222818851471,0.7928426265716553,-0.002380192279815674,False,AD_all_hlm/avalon_b1024,0,0.0,0,0.0,9,1.1508951406649617,209,26.726342710997443,False
rdkit_path_min4_max7_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.48083372563123705,0.7100733518600464,0.7728625535964966,0.7722821235656738,0.7172039747238159,0.7135784029960632,-0.0036255717277526855,False,AD_all_hlm/rdkit_path_min4_max7_b2048,0,0.0,1,0.1278772378516624,2,0.2557544757033248,254,32.48081841432225,False
chemeleon+rdkit_path_min4_max8_b2048,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6860782563686371,0.845025360584259,0.8710299134254456,0.8705240488052368,0.8456408381462097,0.8405918478965759,-0.005048990249633789,False,AD_all_hlm/chemeleon__rdkit_path_min4_max8_b2048,0,0.0,1,0.1278772378516624,1,0.1278772378516624,259,33.12020460358056,False
rdkit_path_min3_max7_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.49549678415060044,0.7224124670028687,0.7784829139709473,0.7771220207214355,0.726128101348877,0.7224065661430359,-0.0037215352058410645,False,AD_all_hlm/rdkit_path_min3_max7_b2048,0,0.0,1,0.1278772378516624,2,0.2557544757033248,264,33.75959079283887,False
chemeleon+rdkit_path_min3_max8_b2048,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6927869528532028,0.8499819040298462,0.8737614750862122,0.8722922801971436,0.848435640335083,0.8432816863059998,-0.005153954029083252,False,AD_all_hlm/chemeleon__rdkit_path_min3_max8_b2048,0,0.0,1,0.1278772378516624,1,0.1278772378516624,269,34.39897698209719,False
rdkit_path_min4_max7_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.411922986805439,0.6743921339511871,0.7353715896606445,0.7325426340103149,0.6641765236854553,0.6626090407371521,-0.0015674829483032227,False,AD_all_hlm/rdkit_path_min4_max7_b4096,7,0.8951406649616368,16,2.0460358056265986,12,1.5345268542199488,296,37.851662404092075,False
rdkit_path_min3_max7_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.42553192377090454,0.6829323172569275,0.7385319471359253,0.7357164621353149,0.6708257794380188,0.6692707538604736,-0.001555025577545166,False,AD_all_hlm/rdkit_path_min3_max7_b4096,6,0.7672634271099744,13,1.6624040920716112,13,1.6624040920716112,304,38.87468030690537,False
chemeleon+rdkit_path_min4_max8_b4096,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6384436041116714,0.8139798641204834,0.8368412256240845,0.8367714881896973,0.7926371097564697,0.7904417514801025,-0.0021953582763671875,False,AD_all_hlm/chemeleon__rdkit_path_min4_max8_b4096,1,0.1278772378516624,5,0.639386189258312,4,0.5115089514066496,323,41.30434782608695,False
morgan_r3_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.2839506268501282,0.5555555820465088,0.5903614163398743,0.5903614163398743,0.5037936568260193,0.5028941631317139,-0.0008994936943054199,False,AD_all_hlm/morgan_r3_b2048,118,15.089514066496164,119,15.217391304347826,16,2.0460358056265986,327,41.81585677749361,False
chemeleon+rdkit_path_min3_max8_b4096,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6436964243650436,0.8168957829475403,0.8387888073921204,0.8383471965789795,0.7952548265457153,0.7930480241775513,-0.0022068023681640625,False,AD_all_hlm/chemeleon__rdkit_path_min3_max8_b4096,0,0.0,5,0.639386189258312,4,0.5115089514066496,331,42.327365728900254,False
morgan_r3_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.27835050225257874,0.5510033369064331,0.5858224034309387,0.5858224034309387,0.49871018528938293,0.49775430560112,-0.0009558796882629395,False,AD_all_hlm/morgan_r3_b4096,123,15.728900255754477,124,15.856777493606138,18,2.3017902813299234,331,42.327365728900254,False
rdkit_path_min4_max6_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.5347047924995423,0.7557539641857147,0.7935113310813904,0.7920824289321899,0.7394478917121887,0.7369562983512878,-0.002491593360900879,False,AD_all_hlm/rdkit_path_min4_max6_b1024,0,0.0,1,0.1278772378516624,3,0.3836317135549872,340,43.47826086956522,False
morgan_r2_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.35211268067359924,0.6298832893371582,0.6617551445960999,0.6617551445960999,0.5787394642829895,0.5777398347854614,-0.0009996294975280762,False,AD_all_hlm/morgan_r2_b4096,30,3.836317135549872,37,4.731457800511509,12,1.5345268542199488,340,43.47826086956522,False
chemeleon+rdkit_path_min4_max7_b1024,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.7213450849056244,0.8669700622558594,0.8799890279769897,0.8791255354881287,0.8577785491943359,0.8536159992218018,-0.00416254997253418,False,AD_all_hlm/chemeleon__rdkit_path_min4_max7_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,342,43.734015345268546,False
morgan_r2_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.3571428656578064,0.6346153616905212,0.6666666865348816,0.6666666865348816,0.5811964869499207,0.5802190899848938,-0.0009773969650268555,False,AD_all_hlm/morgan_r2_b2048,27,3.452685421994885,34,4.3478260869565215,10,1.278772378516624,342,43.734015345268546,False
morgan_r3_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.296875,0.5679012537002563,0.5932149291038513,0.5932149291038513,0.5152794718742371,0.5143960118293762,-0.0008834600448608398,False,AD_all_hlm/morgan_r3_b1024,114,14.578005115089514,116,14.83375959079284,13,1.6624040920716112,342,43.734015345268546,False
morgan_r2_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.36666667461395264,0.6415094137191772,0.671875,0.671875,0.5887611508369446,0.5878514647483826,-0.0009096860885620117,False,AD_all_hlm/morgan_r2_b1024,28,3.580562659846547,35,4.475703324808184,10,1.278772378516624,344,43.989769820971865,False
rdkit_path_min3_max6_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.5563302665948868,0.7705115973949432,0.8040430545806885,0.8024988174438477,0.7537315487861633,0.7510709166526794,-0.0026606321334838867,False,AD_all_hlm/rdkit_path_min3_max6_b1024,0,0.0,1,0.1278772378516624,2,0.2557544757033248,348,44.50127877237852,False
chemeleon+rdkit_path_min3_max7_b1024,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.7299991875886918,0.8730916976928711,0.883730411529541,0.8830698728561401,0.8628859519958496,0.8586093783378601,-0.004276573657989502,False,AD_all_hlm/chemeleon__rdkit_path_min3_max7_b1024,0,0.0,1,0.1278772378516624,1,0.1278772378516624,351,44.8849104859335,False
rdkit_path_min4_max6_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.4615384638309479,0.7156596183776855,0.7460449934005737,0.743624210357666,0.6912752985954285,0.6897756457328796,-0.0014996528625488281,False,AD_all_hlm/rdkit_path_min4_max6_b2048,2,0.2557544757033248,9,1.1508951406649617,14,1.7902813299232736,359,45.907928388746804,False
rdkit_path_min4_max6_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.42569009214639664,0.696321040391922,0.7304289937019348,0.7284780740737915,0.6660357713699341,0.6646451950073242,-0.0013905763626098633,False,AD_all_hlm/rdkit_path_min4_max6_b4096,10,1.278772378516624,17,2.1739130434782608,18,2.3017902813299234,359,45.907928388746804,False
rdkit_path_min3_max6_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.48150229156017305,0.7333521842956543,0.7592822313308716,0.7565598487854004,0.7024974822998047,0.7009958028793335,-0.0015016794204711914,False,AD_all_hlm/rdkit_path_min3_max6_b2048,2,0.2557544757033248,3,0.3836317135549872,14,1.7902813299232736,364,46.547314578005114,False
rdkit_path_min3_max6_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.4428696736693382,0.7082852125167847,0.7389388084411621,0.735487699508667,0.6755930185317993,0.6742129325866699,-0.0013800859451293945,False,AD_all_hlm/rdkit_path_min3_max6_b4096,6,0.7672634271099744,12,1.5345268542199488,17,2.1739130434782608,364,46.547314578005114,False
chemeleon+rdkit_path_min4_max7_b2048,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6669243931770324,0.8342036604881287,0.8437597155570984,0.8432551622390747,0.8067445755004883,0.8048759698867798,-0.001868605613708496,False,AD_all_hlm/chemeleon__rdkit_path_min4_max7_b2048,0,0.0,2,0.2557544757033248,7,0.8951406649616368,366,46.80306905370844,False
rdkit_path_min3_max5_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.5346975684165954,0.7603022754192352,0.7777777910232544,0.7757731676101685,0.7272160053253174,0.7257147431373596,-0.0015012621879577637,False,AD_all_hlm/rdkit_path_min3_max5_b1024,0,0.0,3,0.3836317135549872,17,2.1739130434782608,371,47.44245524296675,False
chemeleon+morgan_r3_b2048,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.5677285879850388,0.7536979913711548,0.7592953443527222,0.7592953443527222,0.7020646929740906,0.7009706497192383,-0.001094043254852295,False,AD_all_hlm/chemeleon__morgan_r3_b2048,60,7.672634271099744,71,9.07928388746803,18,2.3017902813299234,372,47.570332480818415,False
chemeleon+morgan_r3_b4096,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.5647308170795441,0.7518384754657745,0.7566845417022705,0.7566845417022705,0.6996585130691528,0.6985582709312439,-0.0011002421379089355,False,AD_all_hlm/chemeleon__morgan_r3_b4096,65,8.312020460358056,74,9.462915601023019,21,2.6854219948849103,373,47.69820971867008,False
chemeleon+rdkit_path_min3_max7_b2048,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6744550049304963,0.8403950333595276,0.8481788635253906,0.8480210304260254,0.8110798001289368,0.8091720938682556,-0.0019077062606811523,False,AD_all_hlm/chemeleon__rdkit_path_min3_max7_b2048,0,0.0,2,0.2557544757033248,7,0.8951406649616368,374,47.82608695652174,False
chemeleon+rdkit_path_min4_max7_b4096,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6330145239830017,0.8174729943275452,0.8253282308578491,0.8250424861907959,0.7790772318840027,0.777794361114502,-0.0012828707695007324,False,AD_all_hlm/chemeleon__rdkit_path_min4_max7_b4096,5,0.639386189258312,12,1.5345268542199488,12,1.5345268542199488,376,48.08184143222506,False
rdkit_path_min4_max5_b1024,14197,3751,782,openadmet_expansion_train,0.4,0.504117488861084,0.7440185844898224,0.7594856023788452,0.7571072578430176,0.7076361179351807,0.7060192823410034,-0.001616835594177246,False,AD_all_hlm/rdkit_path_min4_max5_b1024,1,0.1278772378516624,3,0.3836317135549872,18,2.3017902813299234,377,48.209718670076725,False
rdkit_path_min3_max5_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.4950506925582886,0.7450604438781738,0.7546312212944031,0.7525036931037903,0.7044274210929871,0.7030208706855774,-0.001406550407409668,False,AD_all_hlm/rdkit_path_min3_max5_b2048,2,0.2557544757033248,8,1.0230179028132993,19,2.4296675191815855,377,48.209718670076725,False
rdkit_path_min4_max5_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.45318998843431474,0.7176934480667114,0.7338253259658813,0.7323054075241089,0.6771901845932007,0.6759141087532043,-0.0012760758399963379,False,AD_all_hlm/rdkit_path_min4_max5_b4096,7,0.8951406649616368,14,1.7902813299232736,19,2.4296675191815855,377,48.209718670076725,False
rdkit_path_min3_max5_b4096,14197,3751,782,openadmet_expansion_train,0.4,0.4764681071043015,0.733098179101944,0.7463808655738831,0.7436507940292358,0.6921722292900085,0.6908450722694397,-0.0013271570205688477,False,AD_all_hlm/rdkit_path_min3_max5_b4096,4,0.5115089514066496,11,1.4066496163682864,19,2.4296675191815855,378,48.33759590792839,False
rdkit_path_min4_max5_b2048,14197,3751,782,openadmet_expansion_train,0.4,0.47058823704719543,0.7256390154361725,0.7365591526031494,0.7362041473388672,0.6874728202819824,0.6861019730567932,-0.001370847225189209,False,AD_all_hlm/rdkit_path_min4_max5_b2048,4,0.5115089514066496,11,1.4066496163682864,18,2.3017902813299234,379,48.46547314578005,False
chemeleon+rdkit_path_min3_max7_b4096,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6390616834163666,0.8213388621807098,0.8296371698379517,0.8283873200416565,0.7824699282646179,0.7811921834945679,-0.0012777447700500488,False,AD_all_hlm/chemeleon__rdkit_path_min3_max7_b4096,3,0.3836317135549872,10,1.278772378516624,12,1.5345268542199488,381,48.72122762148338,False
chemeleon+morgan_r2_b2048,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6037519186735153,0.7903247475624084,0.7928917407989502,0.7928917407989502,0.741359531879425,0.7402316927909851,-0.0011278390884399414,False,AD_all_hlm/chemeleon__morgan_r2_b2048,11,1.4066496163682864,23,2.9411764705882355,11,1.4066496163682864,383,48.9769820971867,False
chemeleon+morgan_r3_b1024,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.5738760948181152,0.7599945366382599,0.762310266494751,0.762310266494751,0.7078511118888855,0.7068242430686951,-0.0010268688201904297,False,AD_all_hlm/chemeleon__morgan_r3_b1024,51,6.521739130434782,65,8.312020460358056,17,2.1739130434782608,384,49.10485933503836,False
chemeleon+morgan_r2_b4096,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6012050360441208,0.7892835736274719,0.7927564382553101,0.7927564382553101,0.7401607632637024,0.7390166521072388,-0.001144111156463623,False,AD_all_hlm/chemeleon__morgan_r2_b4096,13,1.6624040920716112,26,3.3248081841432224,13,1.6624040920716112,385,49.232736572890026,False
chemeleon+morgan_r2_b1024,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6076888829469681,0.7945366203784943,0.7961424589157104,0.7961424589157104,0.7452829480171204,0.7442195415496826,-0.0010634064674377441,False,AD_all_hlm/chemeleon__morgan_r2_b1024,9,1.1508951406649617,22,2.813299232736573,12,1.5345268542199488,387,49.48849104859335,False
chemeleon+rdkit_path_min3_max6_b1024,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.7056601762771606,0.8622773885726929,0.8612529039382935,0.8586946725845337,0.8246954679489136,0.8228840827941895,-0.001811385154724121,False,AD_all_hlm/chemeleon__rdkit_path_min3_max6_b1024,0,0.0,1,0.1278772378516624,7,0.8951406649616368,396,50.63938618925831,False
chemeleon+rdkit_path_min4_max6_b4096,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6399846494197845,0.8259468078613281,0.8224060535430908,0.8218069076538086,0.7783902287483215,0.7772201299667358,-0.0011700987815856934,False,AD_all_hlm/chemeleon__rdkit_path_min4_max6_b4096,7,0.8951406649616368,12,1.5345268542199488,18,2.3017902813299234,398,50.89514066496164,False
chemeleon+rdkit_path_min3_max6_b4096,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6478993058204651,0.8313327133655548,0.8266953825950623,0.8265339136123657,0.7833762168884277,0.7822203040122986,-0.0011559128761291504,False,AD_all_hlm/chemeleon__rdkit_path_min3_max6_b4096,4,0.5115089514066496,11,1.4066496163682864,21,2.6854219948849103,399,51.0230179028133,False
chemeleon+rdkit_path_min4_max6_b2048,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6581833362579346,0.8369828164577484,0.8333937525749207,0.8318556547164917,0.7917525172233582,0.7904877066612244,-0.001264810562133789,False,AD_all_hlm/chemeleon__rdkit_path_min4_max6_b2048,3,0.3836317135549872,9,1.1508951406649617,16,2.0460358056265986,400,51.150895140664964,False
chemeleon+rdkit_path_min3_max6_b2048,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6680001139640808,0.8430466055870056,0.8392142057418823,0.8374293446540833,0.7977071404457092,0.7964472770690918,-0.0012598633766174316,False,AD_all_hlm/chemeleon__rdkit_path_min3_max6_b2048,1,0.1278772378516624,6,0.7672634271099744,17,2.1739130434782608,401,51.27877237851662,False
chemeleon+rdkit_path_min4_max6_b1024,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6939500153064728,0.8564784526824951,0.8530377149581909,0.8522520661354065,0.8173453211784363,0.8156101107597351,-0.0017352104187011719,False,AD_all_hlm/chemeleon__rdkit_path_min4_max6_b1024,0,0.0,1,0.1278772378516624,7,0.8951406649616368,402,51.406649616368284,False
chemeleon,14197,3751,782,openadmet_expansion_train,0.8,0.8362361073493958,0.9328465163707733,0.9295501708984375,0.9295501708984375,0.9171182513237,0.9157148003578186,-0.0014034509658813477,False,AD_all_hlm/chemeleon,0,0.0,3,0.3836317135549872,1,0.1278772378516624,413,52.813299232736576,False
chemeleon+rdkit_path_min3_max5_b2048,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6755422234535218,0.8475598990917206,0.8364982604980469,0.8360497951507568,0.7977294921875,0.7965773344039917,-0.0011521577835083008,False,AD_all_hlm/chemeleon__rdkit_path_min3_max5_b2048,2,0.2557544757033248,8,1.0230179028132993,27,3.452685421994885,415,53.069053708439895,False
chemeleon+rdkit_path_min3_max5_b4096,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.665181565284729,0.8432415127754211,0.8313789367675781,0.8308942317962646,0.7909654974937439,0.7898330688476562,-0.0011324286460876465,False,AD_all_hlm/chemeleon__rdkit_path_min3_max5_b4096,3,0.3836317135549872,10,1.278772378516624,24,3.0690537084398977,417,53.32480818414322,False
chemeleon+rdkit_path_min4_max5_b2048,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6622990310192108,0.8428963720798492,0.8286138772964478,0.8272109627723694,0.7889156341552734,0.7877436876296997,-0.0011719465255737305,False,AD_all_hlm/chemeleon__rdkit_path_min4_max5_b2048,3,0.3836317135549872,10,1.278772378516624,25,3.1969309462915603,419,53.58056265984655,False
chemeleon+rdkit_path_min4_max5_b4096,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6531717866659165,0.8375732600688934,0.8247299194335938,0.8233447670936584,0.7831922173500061,0.7820648550987244,-0.0011273622512817383,False,AD_all_hlm/chemeleon__rdkit_path_min4_max5_b4096,7,0.8951406649616368,12,1.5345268542199488,25,3.1969309462915603,420,53.70843989769821,False
chemeleon+rdkit_path_min4_max5_b1024,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6800916790962219,0.8508846759796143,0.8360176682472229,0.8352620601654053,0.7993844151496887,0.7981089949607849,-0.0012754201889038086,False,AD_all_hlm/chemeleon__rdkit_path_min4_max5_b1024,2,0.2557544757033248,6,0.7672634271099744,26,3.3248081841432224,421,53.83631713554987,False
chemeleon+rdkit_path_min3_max5_b1024,14197,3751,782,openadmet_expansion_train,0.6000000000000001,0.6943787217140198,0.8601301610469818,0.8472849726676941,0.8460184931755066,0.8094148635864258,0.8081932067871094,-0.0012216567993164062,False,AD_all_hlm/chemeleon__rdkit_path_min3_max5_b1024,0,0.0,4,0.5115089514066496,27,3.452685421994885,424,54.21994884910486,False
